age_group,diet_name,species_name,model_species_id,objective_reaction_id,median_abundance,normalized_weight,n_subjects,species_biomass_flux,is_growing
61_70,high_fiber,Parabacteroides merdae,Parabacteroides_merdae_ATCC_43184,Parabacteroides_merdae_ATCC_43184__biomass536,0.200210536899317,0.026407877120283457,57,0.0,False
61_70,high_fiber,Ruminococcus torques,Ruminococcus_torques_ATCC_27756,Ruminococcus_torques_ATCC_27756__biomass525,0.765405482461402,0.10095739335735697,57,0.0,False
71_80,western,Alistipes onderdonkii,Alistipes_onderdonkii_DSM_19147,Alistipes_onderdonkii_DSM_19147__biomass419,2.32999720316183,0.13809566644752075,33,0.0,False
71_80,western,Alistipes shahii,Alistipes_shahii_WAL_8301,Alistipes_shahii_WAL_8301__biomass399,0.0,0.0,33,0.0,False
71_80,western,Bacteroides dorei,Bacteroides_dorei_DSM_17855,Bacteroides_dorei_DSM_17855__biomass536,1.89494343772994,0.11231063992633336,33,0.0,False
71_80,western,Bacteroides xylanisolvens,Bacteroides_xylanisolvens_XB1A,Bacteroides_xylanisolvens_XB1A__biomass525,0.115359973618099,0.006837223845823357,33,0.0,False
71_80,western,Bilophila wadsworthia,Bilophila_wadsworthia_3_1_6,Bilophila_wadsworthia_3_1_6__biomass525,0.0,0.0,33,0.0,False
71_80,western,Escherichia coli,Escherichia_coli_UTI89_UPEC,Escherichia_coli_UTI89_UPEC__biomass525,7.57234820821766,0.44880245820358505,33,2.1881921069301145,True
71_80,western,Faecalibacterium prausnitzii,Faecalibacterium_prausnitzii_M21_2,Faecalibacterium_prausnitzii_M21_2__biomass224,4.00011319308113,0.23708109885902381,33,0.0,False
71_80,western,Klebsiella pneumoniae,Klebsiella_pneumoniae_pneumoniae_MGH78578,Klebsiella_pneumoniae_pneumoniae_MGH78578__biomass525,0.226810889703115,0.01344276333405167,33,0.0,False
71_80,western,Parabacteroides merdae,Parabacteroides_merdae_ATCC_43184,Parabacteroides_merdae_ATCC_43184__biomass536,0.0,0.0,33,0.0,False
71_80,western,Ruminococcus torques,Ruminococcus_torques_ATCC_27756,Ruminococcus_torques_ATCC_27756__biomass525,0.732768298962431,0.04343014938366204,33,0.0,False
71_80,high_fiber,Alistipes onderdonkii,Alistipes_onderdonkii_DSM_19147,Alistipes_onderdonkii_DSM_19147__biomass419,2.32999720316183,0.13809566644752075,33,0.0,False
71_80,high_fiber,Alistipes shahii,Alistipes_shahii_WAL_8301,Alistipes_shahii_WAL_8301__biomass399,0.0,0.0,33,0.0,False
71_80,high_fiber,Bacteroides dorei,Bacteroides_dorei_DSM_17855,Bacteroides_dorei_DSM_17855__biomass536,1.89494343772994,0.11231063992633336,33,0.0,False
71_80,high_fiber,Bacteroides xylanisolvens,Bacteroides_xylanisolvens_XB1A,Bacteroides_xylanisolvens_XB1A__biomass525,0.115359973618099,0.006837223845823357,33,0.0,False
71_80,high_fiber,Bilophila wadsworthia,Bilophila_wadsworthia_3_1_6,Bilophila_wadsworthia_3_1_6__biomass525,0.0,0.0,33,0.0,False
71_80,high_fiber,Escherichia coli,Escherichia_coli_UTI89_UPEC,Escherichia_coli_UTI89_UPEC__biomass525,7.57234820821766,0.44880245820358505,33,2.1881921069284638,True
71_80,high_fiber,Faecalibacterium prausnitzii,Faecalibacterium_prausnitzii_M21_2,Faecalibacterium_prausnitzii_M21_2__biomass224,4.00011319308113,0.23708109885902381,33,0.0,False
71_80,high_fiber,Klebsiella pneumoniae,Klebsiella_pneumoniae_pneumoniae_MGH78578,Klebsiella_pneumoniae_pneumoniae_MGH78578__biomass525,0.226810889703115,0.01344276333405167,33,0.0,False
71_80,high_fiber,Parabacteroides merdae,Parabacteroides_merdae_ATCC_43184,Parabacteroides_merdae_ATCC_43184__biomass536,0.0,0.0,33,0.0,False
71_80,high_fiber,Ruminococcus torques,Ruminococcus_torques_ATCC_27756,Ruminococcus_torques_ATCC_27756__biomass525,0.732768298962431,0.04343014938366204,33,0.0,False
81_90,western,Alistipes onderdonkii,Alistipes_onderdonkii_DSM_19147,Alistipes_onderdonkii_DSM_19147__biomass419,0.494620476895701,0.0935167846458735,169,0.0,False
81_90,western,Alistipes shahii,Alistipes_shahii_WAL_8301,Alistipes_shahii_WAL_8301__biomass399,0.227743557500775,0.04305896382404744,169,0.0,False
81_90,western,Bacteroides dorei,Bacteroides_dorei_DSM_17855,Bacteroides_dorei_DSM_17855__biomass536,0.676254329876683,0.12785789001261408,169,0.0,False
81_90,western,Bacteroides xylanisolvens,Bacteroides_xylanisolvens_XB1A,Bacteroides_xylanisolvens_XB1A__biomass525,0.178305668362581,0.03371185296260619,169,0.0,False
81_90,western,Bilophila wadsworthia,Bilophila_wadsworthia_3_1_6,Bilophila_wadsworthia_3_1_6__biomass525,0.0,0.0,169,0.0,False
81_90,western,Escherichia coli,Escherichia_coli_UTI89_UPEC,Escherichia_coli_UTI89_UPEC__biomass525,1.29880647859491,0.24556242903190081,169,1.5728786609825494,True
81_90,western,Faecalibacterium prausnitzii,Faecalibacterium_prausnitzii_M21_2,Faecalibacterium_prausnitzii_M21_2__biomass224,1.24423225168371,0.23524420230319645,169,0.6771764403144233,True
81_90,western,Klebsiella pneumoniae,Klebsiella_pneumoniae_pneumoniae_MGH78578,Klebsiella_pneumoniae_pneumoniae_MGH78578__biomass525,0.17231064142578,0.03257838666029367,169,0.0,False
81_90,western,Parabacteroides merdae,Parabacteroides_merdae_ATCC_43184,Parabacteroides_merdae_ATCC_43184__biomass536,0.68968469388354,0.13039713882501167,169,0.0,False
81_90,western,Ruminococcus torques,Ruminococcus_torques_ATCC_27756,Ruminococcus_torques_ATCC_27756__biomass525,0.307151004155264,0.058072351734456205,169,0.0,False
