pc,explained_variance_fraction,cumulative_explained_variance
PC383,4.410217000397412e-6,0.9998640093515753
PC384,4.329919161868321e-6,0.9998683392707371
PC385,4.225430918817261e-6,0.999872564701656
PC386,4.1213293145418886e-6,0.9998766860309705
PC387,3.939785044378083e-6,0.9998806258160149
PC388,3.892742996446116e-6,0.9998845185590113
PC389,3.7989537950195095e-6,0.9998883175128063
PC390,3.6260094059185948e-6,0.9998919435222122
PC391,3.58250505333534e-6,0.9998955260272656
PC392,3.408076456421994e-6,0.999898934103722
PC393,3.337774521693185e-6,0.9999022718782437
PC394,3.310921842099049e-6,0.9999055828000858
PC395,3.141768140278918e-6,0.9999087245682261
PC396,3.0433860225387022e-6,0.9999117679542486
PC397,2.9753016761889365e-6,0.9999147432559248
PC398,2.8476877925722225e-6,0.9999175909437173
PC399,2.7824750850908407e-6,0.9999203734188025
PC400,2.7032707402241272e-6,0.9999230766895427
PC401,2.6777036979432508e-6,0.9999257543932407
PC402,2.554281090428939e-6,0.9999283086743311
PC403,2.5116712868404518e-6,0.999930820345618
PC404,2.461852887637827e-6,0.9999332821985056
PC405,2.4228299245243494e-6,0.9999357050284302
PC406,2.354314729752577e-6,0.9999380593431599
PC407,2.333148611672437e-6,0.9999403924917716
PC408,2.2003893894488365e-6,0.999942592881161
PC409,2.0854095618464576e-6,0.9999446782907229
PC410,2.034400216723033e-6,0.9999467126909396
PC411,1.995605297267041e-6,0.9999487082962368
PC412,1.9082606196363276e-6,0.9999506165568565
PC413,1.8752228613775604e-6,0.9999524917797178
PC414,1.8719904433666911e-6,0.9999543637701611
PC415,1.7608267685656313e-6,0.9999561245969297
PC416,1.7007752773506666e-6,0.9999578253722071
PC417,1.661370522912205e-6,0.99995948674273
PC418,1.599458232808535e-6,0.9999610862009629
PC419,1.567342229206738e-6,0.9999626535431921
PC420,1.5537775456621363e-6,0.9999642073207378
PC421,1.4783918215830841e-6,0.9999656857125594
PC422,1.3730898000325331e-6,0.9999670588023595
PC423,1.34278184389162e-6,0.9999684015842034
PC424,1.3163556728673833e-6,0.9999697179398763
PC425,1.2317256126555406e-6,0.9999709496654889
PC426,1.1874583551864373e-6,0.9999721371238441
PC427,1.1743955599751315e-6,0.9999733115194042
PC428,1.1558822023494886e-6,0.9999744674016066
PC429,1.079412739530473e-6,0.9999755468143461
PC430,1.0633468403838856e-6,0.9999766101611864
PC431,1.0224490322324105e-6,0.9999776326102187
PC432,1.0138787662147286e-6,0.9999786464889848
PC433,1.0035740343726425e-6,0.9999796500630191
PC434,9.374853820029434e-7,0.9999805875484011
PC435,9.234245982913898e-7,0.9999815109729995
PC436,8.871412245219403e-7,0.999982398114224
PC437,8.27197420731947e-7,0.9999832253116447
PC438,8.004488325382131e-7,0.9999840257604773
PC439,7.797695501455244e-7,0.9999848055300274
PC440,7.023171014470135e-7,0.9999855078471289
PC441,6.751825501516571e-7,0.9999861830296791
PC442,6.667192364137633e-7,0.9999868497489155
PC443,6.391969805257057e-7,0.9999874889458961
PC444,5.959728652562977e-7,0.9999880849187613
PC445,5.685940599906549e-7,0.9999886535128213
PC446,5.407714572589028e-7,0.9999891942842786
PC447,5.134704316915129e-7,0.9999897077547103
PC448,4.957079245436782e-7,0.9999902034626349
PC449,4.930970980021203e-7,0.9999906965597329
PC450,4.842338476487073e-7,0.9999911807935806
PC451,4.7156443452115593e-7,0.9999916523580151
PC452,4.677025305425946e-7,0.9999921200605457
PC453,4.326096071188091e-7,0.9999925526701529
PC454,3.9959980902874655e-7,0.9999929522699619
PC455,3.7877274607201554e-7,0.9999933310427079
PC456,3.7083535071125475e-7,0.9999937018780587
PC457,3.650564330457844e-7,0.9999940669344918
PC458,3.4949999441951073e-7,0.9999944164344862
PC459,3.3833387175030263e-7,0.9999947547683579
PC460,3.277148894208639e-7,0.9999950824832473
PC461,2.979775542648302e-7,0.9999953804608016
PC462,2.8188298330042475e-7,0.9999956623437849
PC463,2.675386633862393e-7,0.9999959298824482
PC464,2.542673644240012e-7,0.9999961841498126
PC465,2.40735490423115e-7,0.999996424885303
PC466,2.3014017951484495e-7,0.9999966550254825
PC467,2.2069213891136311e-7,0.9999968757176214
PC468,2.0383004881832727e-7,0.9999970795476703
PC469,1.9280577674629076e-7,0.999997272353447
PC470,1.8620161442631358e-7,0.9999974585550615
PC471,1.769581884410482e-7,0.9999976355132499
PC472,1.6220922899330768e-7,0.999997797722479
PC473,1.5462096842533567e-7,0.9999979523434475
PC474,1.4629297825099235e-7,0.9999980986364257
PC475,1.434632464100241e-7,0.9999982420996721
PC476,1.3390458385778272e-7,0.999998376004256
PC477,1.271249759218528e-7,0.9999985031292319
PC478,1.2488816303879994e-7,0.9999986280173949
PC479,1.1892306339743592e-7,0.9999987469404583
PC480,1.0742155172509757e-7,0.9999988543620101
PC481,9.936468092188534e-8,0.999998953726691
PC482,9.578727899870028e-8,0.99999904951397
PC483,8.833727046100802e-8,0.9999991378512405
PC484,7.890914292442948e-8,0.9999992167603834
PC485,6.783552347890724e-8,0.9999992845959069
PC486,6.361852818367641e-8,0.9999993482144351
PC487,5.7186500156280974e-8,0.9999994054009353
PC488,5.419568540284711e-8,0.9999994595966207
PC489,5.277615010217727e-8,0.9999995123727708
PC490,4.8044211293095066e-8,0.9999995604169821
PC491,4.7443499991433966e-8,0.9999996078604821
PC492,4.0926353174494374e-8,0.9999996487868353
PC493,3.9075525127860665e-8,0.9999996878623605
PC494,3.590512818781174e-8,0.9999997237674887
PC495,3.452179308360316e-8,0.9999997582892818
PC496,3.29821150978409e-8,0.9999997912713969
PC497,2.8522613927573508e-8,0.9999998197940109
PC498,2.579691865987939e-8,0.9999998455909296
PC499,2.3749097944761605e-8,0.9999998693400275
PC500,2.0828483481135792e-8,0.999999890168511
PC501,1.788344605983565e-8,0.999999908051957
PC502,1.7038868148319706e-8,0.9999999250908251
PC503,1.4816764874791102e-8,0.9999999399075901
PC504,1.2355440519043427e-8,0.9999999522630306
PC505,8.760784759196966e-9,0.9999999610238154
PC506,8.374022981111706e-9,0.9999999693978384
PC507,7.159297910018424e-9,0.9999999765571363
PC508,6.4165981947674645e-9,0.9999999829737345
