subject_set,pc,reaction_id,loading,abs_loading,explained_variance_fraction,direction,rank_within_direction
optimal414,PC2,URItex,-0.05048792290777428,0.05048792290777428,0.13185962045817162,negative,9
optimal414,PC2,ARGSL,-0.05021370176768147,0.05021370176768147,0.13185962045817162,negative,10
optimal414,PC2,ARGSS,-0.050213701767681425,0.050213701767681425,0.13185962045817162,negative,11
optimal414,PC2,GALT,-0.04990903806569973,0.04990903806569973,0.13185962045817162,negative,12
optimal414,PC2,3MOPt2r,-0.048492759079935645,0.048492759079935645,0.13185962045817162,negative,13
optimal414,PC2,EX_ile_L(e),-0.048417060249982026,0.048417060249982026,0.13185962045817162,negative,14
optimal414,PC2,EX_gthrd(e),-0.04790810489451294,0.04790810489451294,0.13185962045817162,negative,15
optimal414,PC2,PIabc,-0.04790241611184507,0.04790241611184507,0.13185962045817162,negative,16
optimal414,PC2,HYXNt,-0.047534666380737514,0.047534666380737514,0.13185962045817162,negative,17
optimal414,PC2,UMPK,-0.047293881311015466,0.047293881311015466,0.13185962045817162,negative,18
optimal414,PC2,EX_tmao(e),-0.04666674414666381,0.04666674414666381,0.13185962045817162,negative,19
optimal414,PC2,SELRdmqpp,-0.046373109231676264,0.046373109231676264,0.13185962045817162,negative,20
optimal414,PC2,DCYTtex,0.059016430974808666,0.059016430974808666,0.13185962045817162,positive,1
optimal414,PC2,DCYTt2rpp,0.05901643097480866,0.05901643097480866,0.13185962045817162,positive,2
optimal414,PC2,CYTK2,0.05836003481055547,0.05836003481055547,0.13185962045817162,positive,3
optimal414,PC2,LYS_Ltex,0.052092962700839636,0.052092962700839636,0.13185962045817162,positive,4
optimal414,PC2,AGMHE,0.05130186292220362,0.05130186292220362,0.13185962045817162,positive,5
optimal414,PC2,GMHEPAT,0.05130186292220359,0.05130186292220359,0.13185962045817162,positive,6
optimal414,PC2,GMHEPK,0.05130186292220359,0.05130186292220359,0.13185962045817162,positive,7
optimal414,PC2,GMHEPPA,0.05130186292220359,0.05130186292220359,0.13185962045817162,positive,8
optimal414,PC2,S7PIr,0.05130186292220359,0.05130186292220359,0.13185962045817162,positive,9
optimal414,PC2,FE2abcpp,0.05125897661966986,0.05125897661966986,0.13185962045817162,positive,10
optimal414,PC2,FE2tex,0.05125897661966986,0.05125897661966986,0.13185962045817162,positive,11
optimal414,PC2,G1PTT,0.05124173037125287,0.05124173037125287,0.13185962045817162,positive,12
optimal414,PC2,TDPDRE,0.05124173037125287,0.05124173037125287,0.13185962045817162,positive,13
optimal414,PC2,TDPDRRr,0.05124173037125287,0.05124173037125287,0.13185962045817162,positive,14
optimal414,PC2,TDPGDH,0.05124173037125287,0.05124173037125287,0.13185962045817162,positive,15
optimal414,PC2,EDTXS2,0.05122172038201008,0.05122172038201008,0.13185962045817162,positive,16
