subject_set,pc,explained_variance_fraction,cumulative_explained_variance
all516,PC232,9.80769512483179e-5,0.9950043431654091
all516,PC233,9.567675563791783e-5,0.995100019921047
all516,PC234,9.49095579455285e-5,0.9951949294789926
all516,PC235,9.177601060651524e-5,0.9952867054895991
all516,PC236,9.026219523424653e-5,0.9953769676848333
all516,PC237,8.927264570807636e-5,0.9954662403305414
all516,PC238,8.814642491202094e-5,0.9955543867554535
all516,PC239,8.454179340729226e-5,0.9956389285488608
all516,PC240,8.337803430353663e-5,0.9957223065831644
all516,PC241,8.270773641892013e-5,0.9958050143195833
all516,PC242,8.158611302013705e-5,0.9958866004326035
all516,PC243,8.071449800396471e-5,0.9959673149306074
all516,PC244,7.73190296577671e-5,0.9960446339602652
all516,PC245,7.702966105291919e-5,0.9961216636213182
all516,PC246,7.610622181485458e-5,0.996197769843133
all516,PC247,7.587930041494498e-5,0.996273649143548
all516,PC248,7.411544561718098e-5,0.9963477645891652
all516,PC249,7.326240362406934e-5,0.9964210269927892
all516,PC250,7.071132242765189e-5,0.9964917383152169
all516,PC251,6.954419382846296e-5,0.9965612825090453
all516,PC252,6.786468846212166e-5,0.9966291471975074
all516,PC253,6.735553243034727e-5,0.9966965027299377
all516,PC254,6.58249117756486e-5,0.9967623276417134
all516,PC255,6.38637376611581e-5,0.9968261913793746
all516,PC256,6.368611579974639e-5,0.9968898774951743
all516,PC257,6.182896529495576e-5,0.9969517064604693
all516,PC258,6.161824501345017e-5,0.9970133247054828
all516,PC259,6.0871206278320726e-5,0.997074195911761
all516,PC260,5.897289562201609e-5,0.9971331688073831
all516,PC261,5.747240359761504e-5,0.9971906412109808
all516,PC262,5.6876723248554344e-5,0.9972475179342293
all516,PC263,5.643240040885978e-5,0.9973039503346381
all516,PC264,5.5256410169060806e-5,0.9973592067448072
all516,PC265,5.419685769290595e-5,0.9974134036025001
all516,PC266,5.394480471277704e-5,0.9974673484072129
all516,PC267,5.257436097432191e-5,0.9975199227681871
all516,PC268,5.208933750402136e-5,0.9975720121056911
all516,PC269,5.1106187103235434e-5,0.9976231182927944
all516,PC270,5.062570873347575e-5,0.9976737440015279
all516,PC271,4.929645855465253e-5,0.9977230404600825
all516,PC272,4.866804982873499e-5,0.9977717085099113
all516,PC273,4.744803569754726e-5,0.9978191565456088
all516,PC274,4.618659091475364e-5,0.9978653431365235
all516,PC275,4.5082799944655594e-5,0.9979104259364682
all516,PC276,4.28828697021375e-5,0.9979533088061703
all516,PC277,4.235396845538681e-5,0.9979956627746257
all516,PC278,4.2005727949303865e-5,0.998037668502575
all516,PC279,4.0902608962390424e-5,0.9980785711115374
all516,PC280,4.073105412586679e-5,0.9981193021656632
all516,PC281,3.9885763310897164e-5,0.9981591879289742
all516,PC282,3.925178998241846e-5,0.9981984397189566
all516,PC283,3.770299874411735e-5,0.9982361427177008
all516,PC284,3.733283650790574e-5,0.9982734755542086
all516,PC285,3.660146116586231e-5,0.9983100770153746
all516,PC286,3.580957930110573e-5,0.9983458865946757
all516,PC287,3.505496918807648e-5,0.9983809415638638
all516,PC288,3.4183074632285636e-5,0.9984151246384961
all516,PC289,3.378522381139149e-5,0.9984489098623075
all516,PC290,3.303320282966799e-5,0.9984819430651372
all516,PC291,3.260609181523726e-5,0.9985145491569524
all516,PC292,3.203828782046569e-5,0.9985465874447729
all516,PC293,3.177705374986182e-5,0.9985783644985228
all516,PC294,3.069578627663515e-5,0.9986090602847995
all516,PC295,3.048581472340736e-5,0.9986395460995229
all516,PC296,2.98297310680683e-5,0.9986693758305909
all516,PC297,2.9665712010407686e-5,0.9986990415426014
all516,PC298,2.8799662126036155e-5,0.9987278412047274
all516,PC299,2.7962812501840457e-5,0.9987558040172292
all516,PC300,2.7512366722266036e-5,0.9987833163839515
all516,PC301,2.6895825552057263e-5,0.9988102122095035
all516,PC302,2.63509744003556e-5,0.9988365631839039
all516,PC303,2.6102099356643276e-5,0.9988626652832605
all516,PC304,2.5556094640802083e-5,0.9988882213779013
all516,PC305,2.483149567082864e-5,0.9989130528735721
all516,PC306,2.444316707550951e-5,0.9989374960406476
all516,PC307,2.378478738522883e-5,0.9989612808280328
all516,PC308,2.3625281937553766e-5,0.9989849061099704
all516,PC309,2.2946966262749115e-5,0.9990078530762331
all516,PC310,2.2649356767290416e-5,0.9990305024330004
all516,PC311,2.1958122146231483e-5,0.9990524605551466
all516,PC312,2.1595155582751254e-5,0.9990740557107294
all516,PC313,2.1378661930000698e-5,0.9990954343726594
all516,PC314,2.0755588926867807e-5,0.9991161899615862
all516,PC315,2.0513330369772783e-5,0.999136703291956
all516,PC316,2.0026375869835898e-5,0.9991567296678259
all516,PC317,1.9444719696541046e-5,0.9991761743875224
all516,PC318,1.9095131071366843e-5,0.9991952695185937
all516,PC319,1.9062163941381647e-5,0.9992143316825352
