subject_set,reaction_id,reaction_token_group,taxon_id,species_name,paper_taxon,n_subjects_in_set,n_subjects_with_flux,fraction_subjects_with_flux,median_signed_flux,median_abs_flux,total_abs_flux,fraction_of_total_abs_flux,selected_from_pcs,selected_directions,max_abs_loading
all516,ACACT7r,NA,Bilophila_wadsworthia_3_1_6,Bilophila wadsworthia,Bilophila unclassified,516,6,0.01162790697674418,-0.23578550808560128,0.23578550808560128,1.6107249195035993,1.2655839038924934e-6,PC2,negative,0.05800915757702058
all516,ACGAMPM,NA,Faecalibacterium_prausnitzii_M21_2,Faecalibacterium prausnitzii,Faecalibacterium prausnitzii,516,71,0.1375968992248062,-0.1498187249147245,0.1498187249147245,33.98234947372167,1,PC1,negative,0.03639578478939982
all516,ACISNZDppp,NA,Escherichia_coli_UTI89_UPEC,Escherichia coli,Escherichia coli,516,69,0.13372093023255813,0.0065436717330163,0.0449459128925853,149452.27650522828,0.9998852302183768,PC2,positive,0.05915975721044435
all516,ACISNZDppp,NA,Klebsiella_pneumoniae_pneumoniae_MGH78578,Klebsiella pneumoniae,Klebsiella pneumoniae,516,46,0.08914728682170543,0.11967765041445357,0.11967765041445357,17.15457396426938,1.1476978162297e-4,PC2,positive,0.05915975721044435
all516,ADCYRS,NA,Faecalibacterium_prausnitzii_M21_2,Faecalibacterium prausnitzii,Faecalibacterium prausnitzii,516,76,0.14728682170542637,-0.12540478835202326,0.12540478835202326,23.298227149949227,0.9996958171917504,PC1,negative,0.03702221210214342
all516,ADCYRS,NA,Ruminococcus_torques_ATCC_27756,Ruminococcus torques,Ruminococcus torques,516,2,0.00387596899224806,-0.00354453826845716,0.00354453826845716,0.00708907653691432,3.0418280824946e-4,PC1,negative,0.03702221210214342
all516,ADOCBLabc,NA,Faecalibacterium_prausnitzii_M21_2,Faecalibacterium prausnitzii,Faecalibacterium prausnitzii,516,73,0.1414728682170543,0.1105251393610955,0.1105251393610955,23.58522694786471,1,PC1,positive,0.035136235324775
all516,AEPPT,NA,Parabacteroides_merdae_ATCC_43184,Parabacteroides merdae,Parabacteroides merdae,516,62,0.12015503875968991,-2.5618762266572167e-5,0.08164294312962855,18977.978377484837,0.9999995363254868,PC3,negative,0.059678456563607055
all516,AEPPT,NA,Bacteroides_dorei_DSM_17855,Bacteroides dorei,Bacteroides dorei,516,1,0.00193798449612403,-0.008799608962508,0.008799608962508,0.008799608962508,4.636745130236478e-7,PC3,negative,0.059678456563607055
all516,ALALEUabc,NA,Faecalibacterium_prausnitzii_M21_2,Faecalibacterium prausnitzii,Faecalibacterium prausnitzii,516,75,0.1453488372093023,0.144042446684247,0.144042446684247,111153.12924799231,0.999999986892768,PC3,negative,0.0576674809766166
all516,ALALEUabc,NA,Ruminococcus_torques_ATCC_27756,Ruminococcus torques,Ruminococcus torques,516,2,0.00387596899224806,7.2845494296587e-4,7.2845494296587e-4,0.00145690988593175,1.3107232128258004e-8,PC3,negative,0.0576674809766166
all516,ALAPGPL,NA,Faecalibacterium_prausnitzii_M21_2,Faecalibacterium prausnitzii,Faecalibacterium prausnitzii,516,398,0.7713178294573644,0.00100681890459255,0.00100681890459255,33809.17401708247,0.9999957025964552,PC2,positive,0.058758820649936386
all516,ALAPGPL,NA,Ruminococcus_torques_ATCC_27756,Ruminococcus torques,Ruminococcus torques,516,353,0.6841085271317829,9.995964344397837e-5,1.041710843978e-4,0.14529228864752464,4.297403544804677e-6,PC2,positive,0.058758820649936386
all516,ALPZ_AOHtepp,NA,Bacteroides_xylanisolvens_XB1A,Bacteroides xylanisolvens,Bacteroides xylanisolvens,516,54,0.10465116279069768,-0.11605595033416936,0.12104341049198096,11926.416503487486,0.997635947400498,PC3,negative,0.05915679319486663
all516,ALPZ_AOHtepp,NA,Parabacteroides_merdae_ATCC_43184,Parabacteroides merdae,Parabacteroides merdae,516,58,0.1124031007751938,0.13634207085101396,0.13634207085101396,28.23634941777891,0.00236194981068287,PC3,negative,0.05915679319486663
all516,ALPZ_AOHtepp,NA,Alistipes_shahii_WAL_8301,Alistipes shahii,Alistipes shahii,516,2,0.00387596899224806,0.0125690816073436,0.0125690816073436,0.0251381632146872,2.10278881902702e-6,PC3,negative,0.05915679319486663
all516,AM5_GLC_GLCAASEepp,NA,Bacteroides_xylanisolvens_XB1A,Bacteroides xylanisolvens,Bacteroides xylanisolvens,516,54,0.10465116279069768,0.1136734301006535,0.11803563580773384,134511.92768846586,0.999671597611,PC2,negative,0.05651380154265293
all516,AM5_GLC_GLCAASEepp,NA,Alistipes_shahii_WAL_8301,Alistipes shahii,Alistipes shahii,516,77,0.14922480620155038,0.1216768629576392,0.1216768629576392,44.18855002729399,3.2840238900008e-4,PC2,negative,0.05651380154265293
all516,AM6tepp,NA,Parabacteroides_merdae_ATCC_43184,Parabacteroides merdae,Parabacteroides merdae,516,59,0.11434108527131782,0.0923429884424717,0.1039144898755764,9744.56198544321,0.9951778564206264,PC3,positive,0.058181445435259056
