run_type,subject_id,taxon_id,total_abs_flux,max_abs_flux,n_rxn_over_1k,species_name,abundance_raw,abundance_normalized,growth_rate
pfba,MBS1232,Escherichia_coli_UTI89_UPEC,24089688.636003032,1326371.2844110932,66,Escherichia coli,0.496180448268968,0.03194872751902428,0
pfba,MBS1232,Klebsiella_pneumoniae_pneumoniae_MGH78578,23079137.304185987,3949247.445432582,50,Klebsiella pneumoniae,0.520045996156583,0.03348541420068151,0
pfba,MBS1232,Alistipes_shahii_WAL_8301,20035587.668935243,3949235.283094554,49,Alistipes shahii,4.88176622484832,0.3143336652489562,0
pfba,MBS1232,Bacteroides_xylanisolvens_XB1A,18526158.625060264,3949247.445432582,57,Bacteroides xylanisolvens,0.477949399160764,0.03077484244883259,0
pfba,MBS1232,Bacteroides_dorei_DSM_17855,18365355.659356,2031607.6727909008,48,Bacteroides dorei,0.133140368640123,0.00857281937308404,0
pfba,MBS1232,Faecalibacterium_prausnitzii_M21_2,12649757.823293455,1326341.4206622392,37,Faecalibacterium prausnitzii,2.44595010772939,0.1574930930664438,0
pfba,MBS1232,Ruminococcus_torques_ATCC_27756,8480492.093182828,1210658.5418356785,22,Ruminococcus torques,1.34898616011036,0.08686031746446025,0
pfba,MBS1255,Escherichia_coli_UTI89_UPEC,4200867.409495672,317377.16890933673,70,Escherichia coli,0.648357288854883,0.04448673567932088,0
pfba,MBS1255,Alistipes_shahii_WAL_8301,3241322.283469552,317377.1689093368,69,Alistipes shahii,3.04005131446432,0.2085917157143527,0
pfba,MBS1255,Parabacteroides_merdae_ATCC_43184,2702067.268944002,306130.6326235943,63,Parabacteroides merdae,6.57457500168121,0.451111424721141,0
pfba,MBS1255,Faecalibacterium_prausnitzii_M21_2,2355030.8085126774,224453.56180532151,43,Faecalibacterium prausnitzii,0.101679183574129,0.00697667018094379,0
pfba,MBS1255,Bacteroides_dorei_DSM_17855,2228977.94258425,317377.16890933673,53,Bacteroides dorei,0.9834801825406,0.06748103812298864,0
pfba,MBS1255,Ruminococcus_torques_ATCC_27756,1180363.9503338758,198335.3812622532,33,Ruminococcus torques,1.19949173515098,0.08230257095657502,0
pfba,MBS1255,Alistipes_onderdonkii_DSM_19147,1038051.3409114764,317377.16890933673,21,Alistipes onderdonkii,2.02653620005785,0.13904984462467793,0
pfba,MBS1262,Parabacteroides_merdae_ATCC_43184,2056825.0226817958,155199.3521054125,58,Parabacteroides merdae,14.3649720825141,0.7349701254776059,0
pfba,MBS1262,Bacteroides_xylanisolvens_XB1A,2034662.1711327168,155199.3521054125,78,Bacteroides xylanisolvens,2.07590047086285,0.10621147196006687,0
pfba,MBS1262,Bacteroides_dorei_DSM_17855,2003048.7068251295,520448.2247830293,58,Bacteroides dorei,0.887537106311573,0.04540999137658489,0
pfba,MBS1262,Klebsiella_pneumoniae_pneumoniae_MGH78578,1729974.2532148932,520448.2247830293,47,Klebsiella pneumoniae,0.183946759590759,0.00941146089258238,0
pfba,MBS1262,Faecalibacterium_prausnitzii_M21_2,1635654.9256439041,151550.01550046523,45,Faecalibacterium prausnitzii,1.11560785451061,0.05707901415357038,0
pfba,MBS1262,Escherichia_coli_UTI89_UPEC,1401630.7055857305,111092.1773730234,65,Escherichia coli,0.917009847681107,0.04691793613958956,0
pfba,MBS1529,Klebsiella_pneumoniae_pneumoniae_MGH78578,8902046.206978258,1203716.151862113,37,Klebsiella pneumoniae,1.51448209743325,0.07959887232842001,0
pfba,MBS1529,Escherichia_coli_UTI89_UPEC,8534699.38905656,1203716.2036213907,46,Escherichia coli,0.20226716191155,0.01063085395629045,0
pfba,MBS1529,Parabacteroides_merdae_ATCC_43184,8116771.826436867,1203666.1612086291,40,Parabacteroides merdae,10.8381022503985,0.5696341467317046,0
pfba,MBS1529,Alistipes_shahii_WAL_8301,6836146.232953408,1203716.131154179,46,Alistipes shahii,0.162469248450601,0.00853913624111606,0
pfba,MBS1529,Bacteroides_xylanisolvens_XB1A,6822025.014712783,849130.6044043655,45,Bacteroides xylanisolvens,0.225869902021231,0.01187137802704407,0
pfba,MBS1529,Bacteroides_dorei_DSM_17855,6681429.22184152,1203666.2036213907,37,Bacteroides dorei,2.56837590012083,0.1349899254085566,0
pfba,MBS1529,Faecalibacterium_prausnitzii_M21_2,6320290.470008622,1203666.1612086291,37,Faecalibacterium prausnitzii,1.13992305060241,0.05991261931910916,0
pfba,MBS1529,Ruminococcus_torques_ATCC_27756,3584689.7589373756,1203715.5569508348,15,Ruminococcus torques,0.153904883595669,0.00808900626875316,0
pfba,MBS1529,Alistipes_onderdonkii_DSM_19147,1991562.520207154,441932.8361839546,15,Alistipes onderdonkii,2.22103205061337,0.11673406171900592,0
