cohort,age_group,species_name,n_subjects,n_positive,pct_positive,median_abundance,mean_abundance,p25_abundance,p75_abundance,max_abundance
all_cohort,71_80,Bilophila wadsworthia,33,1,3.03,0.0,0.003107761439980364,0.0,0.0,0.102556127519352
all_cohort,81_90,Bilophila wadsworthia,169,6,3.55,0.0,0.006415721881528449,0.0,0.0,0.256513062574607
all_cohort,91_100,Bilophila wadsworthia,26,1,3.85,0.0,0.009677801825359307,0.0,0.0,0.251622847459342
T2D,21_40,Bilophila wadsworthia,73,14,19.18,0.0,0.027575928700429055,0.0,0.0,0.194158627375698
T2D,41_60,Bilophila wadsworthia,89,13,14.61,0.0,0.043523318183979136,0.0,0.0,1.11591651094423
T2D,61_70,Bilophila wadsworthia,9,2,22.22,0.0,0.06388053508493778,0.0,0.0,0.41622367177721
CRE,21_40,Bilophila wadsworthia,18,5,27.78,0.0,0.047221530137740726,0.0,0.10085657924077726,0.223784753892049
CRE,41_60,Bilophila wadsworthia,23,1,4.35,0.0,0.007922954158687174,0.0,0.0,0.182227945649805
CRE,61_70,Bilophila wadsworthia,28,3,10.71,0.0,0.01682788523893782,0.0,0.0,0.238898657978992
CRE,71_80,Bilophila wadsworthia,11,0,0.0,0.0,0.0,0.0,0.0,0.0
SPMP,41_60,Bilophila wadsworthia,28,2,7.14,0.0,0.009549463481157464,0.0,0.0,0.158845482290764
SPMP,61_70,Bilophila wadsworthia,20,0,0.0,0.0,0.0,0.0,0.0,0.0
SPMP,71_80,Bilophila wadsworthia,2,0,0.0,0.0,0.0,0.0,0.0,0.0
SG90,71_80,Bilophila wadsworthia,20,1,5.0,0.0,0.0051278063759676,0.0,0.0,0.102556127519352
SG90,81_90,Bilophila wadsworthia,169,6,3.55,0.0,0.006415721881528449,0.0,0.0,0.256513062574607
SG90,91_100,Bilophila wadsworthia,26,1,3.85,0.0,0.009677801825359307,0.0,0.0,0.251622847459342
all_cohort,21_40,Escherichia coli,91,78,85.71,0.452260832550609,1.8041726103220224,0.165344662400625,1.7872136024375398,13.7884455264691
all_cohort,41_60,Escherichia coli,140,117,83.57,0.7169455062014275,2.943276848655971,0.17673714052610723,2.55019123727144,29.0233030267816
all_cohort,61_70,Escherichia coli,57,41,71.93,0.352563332013605,3.088532634392773,0.0,1.46609409059172,28.9781455881047
all_cohort,71_80,Escherichia coli,33,28,84.85,7.57234820821766,9.387429278741607,1.10902957534898,12.0960293601017,41.8762426153614
all_cohort,81_90,Escherichia coli,169,155,91.72,1.29880647859491,6.082680541972752,0.26757158682532,6.55895974844669,43.8557615435118
all_cohort,91_100,Escherichia coli,26,25,96.15,2.9925055309205,9.524572391835221,1.0949306442518387,10.64384448976155,49.9961491415307
T2D,21_40,Escherichia coli,73,63,86.3,0.442835420484889,1.7063930997802352,0.165340471868371,1.69507392297017,11.0879805929311
T2D,41_60,Escherichia coli,89,74,83.15,0.735192460714671,2.9162546861257077,0.164366595090924,2.50114415041346,29.0233030267816
T2D,61_70,Escherichia coli,9,7,77.78,0.338423708677655,1.5822141351616617,0.28003869139481,0.468620133145047,11.7881178587332
CRE,21_40,Escherichia coli,18,15,83.33,0.5933598491783945,2.20072284751927,0.206886117492953,2.2040299711601525,13.7884455264691
CRE,41_60,Escherichia coli,23,22,95.65,0.893471562407909,4.949892637654765,0.5571561916789045,4.69981214935641,28.1218812476635
CRE,61_70,Escherichia coli,28,23,82.14,0.866987496913931,5.077728965876925,0.20890362520905675,6.445303770398862,28.9781455881047
CRE,71_80,Escherichia coli,11,11,100.0,9.2237042485855,10.03561559401566,7.16038094472948,13.016221028201048,18.4402378412318
SPMP,41_60,Escherichia coli,28,21,75.0,0.35995189072648104,1.3808771814495837,0.08097603933108824,1.9807785555723174,7.64979659255754
SPMP,61_70,Escherichia coli,20,11,55.0,0.26390794712391596,0.9815010949689607,0.0,0.42688136709493674,13.5080950391088
SPMP,71_80,Escherichia coli,2,2,100.0,22.940519917728334,22.940519917728334,13.472658568911802,32.408381266544865,41.8762426153614
SG90,71_80,Escherichia coli,20,15,75.0,4.1220534997181595,7.675617741442204,0.5164734273855712,11.227799398921025,31.06385318121
SG90,81_90,Escherichia coli,169,155,91.72,1.29880647859491,6.082680541972752,0.26757158682532,6.55895974844669,43.8557615435118
SG90,91_100,Escherichia coli,26,25,96.15,2.9925055309205,9.524572391835221,1.0949306442518387,10.64384448976155,49.9961491415307
all_cohort,21_40,Faecalibacterium prausnitzii,91,87,95.6,7.29668501804707,8.368633737960485,3.409137511015765,11.9282825255261,27.5347392120409
all_cohort,41_60,Faecalibacterium prausnitzii,140,119,85.0,4.54764743652073,6.867643368966777,1.37835268377783,11.86075516512545,36.865400599686
all_cohort,61_70,Faecalibacterium prausnitzii,57,42,73.68,6.00005160880284,7.7357222187209755,0.0,12.0433603777406,26.2391569137008
all_cohort,71_80,Faecalibacterium prausnitzii,33,29,87.88,4.00011319308113,4.2201602891763335,1.40451517621571,5.46642029374398,14.7385519091929
all_cohort,81_90,Faecalibacterium prausnitzii,169,127,75.15,1.24423225168371,2.167404761610199,0.101679183574129,2.9938760313667,18.6191333772154
all_cohort,91_100,Faecalibacterium prausnitzii,26,15,57.69,0.4734858460316575,0.7664117647520318,0.0,1.2159585360263634,3.02862875346838
T2D,21_40,Faecalibacterium prausnitzii,73,69,94.52,7.29668501804707,8.538130085203035,3.9529712588617,11.9976830996286,27.5347392120409
T2D,41_60,Faecalibacterium prausnitzii,89,79,88.76,5.14225558843074,7.671347296501884,2.0057223573272,12.0997754423203,36.865400599686
T2D,61_70,Faecalibacterium prausnitzii,9,8,88.89,4.49488732427456,4.46920118792907,3.01098446641114,6.00005160880284,9.1376558202795
CRE,21_40,Faecalibacterium prausnitzii,18,18,100.0,7.513499829506035,7.681231885254589,2.3254891841573375,10.679945028335666,21.3357098497484
CRE,41_60,Faecalibacterium prausnitzii,23,16,69.57,1.61651257436733,2.0770263321252656,0.0,2.8212047795946398,7.91842653544328
CRE,61_70,Faecalibacterium prausnitzii,28,17,60.71,0.57557353418981,7.124688565368751,0.0,16.24674770596185,22.7424352781759
CRE,71_80,Faecalibacterium prausnitzii,11,11,100.0,4.06365187941695,4.85853799963294,3.3844463694956,6.77557931805527,9.0196444689049
SPMP,41_60,Faecalibacterium prausnitzii,28,24,85.71,5.68350831127023,8.248162736707142,1.3264481140170326,13.62983800704985,28.9070526852413
SPMP,61_70,Faecalibacterium prausnitzii,20,17,85.0,9.5262268625136,10.06110379727045,5.752112797794058,13.18335983504595,26.2391569137008
SPMP,71_80,Faecalibacterium prausnitzii,2,2,100.0,10.10248610146844,10.10248610146844,7.78445319760621,12.42051900533067,14.7385519091929
SG90,71_80,Faecalibacterium prausnitzii,20,16,80.0,2.2473071362576498,3.280819967195989,0.42646702487878424,4.817355045892635,12.5113029580015
SG90,81_90,Faecalibacterium prausnitzii,169,127,75.15,1.24423225168371,2.167404761610199,0.101679183574129,2.9938760313667,18.6191333772154
SG90,91_100,Faecalibacterium prausnitzii,26,15,57.69,0.4734858460316575,0.7664117647520318,0.0,1.2159585360263634,3.02862875346838
all_cohort,21_40,Klebsiella pneumoniae,91,32,35.16,0.0,0.32122712101460454,0.0,0.2475734995087865,10.525928644986
all_cohort,41_60,Klebsiella pneumoniae,140,69,49.29,0.0,0.7430492108803128,0.0,0.45642861889296926,21.0466022366881
all_cohort,61_70,Klebsiella pneumoniae,57,21,36.84,0.0,0.70361691817581,0.0,0.246245798738161,23.890978948374
all_cohort,71_80,Klebsiella pneumoniae,33,18,54.55,0.226810889703115,1.751129775037368,0.0,1.99208950791411,13.1651447691199
all_cohort,81_90,Klebsiella pneumoniae,169,103,60.95,0.17231064142578,1.113976160132277,0.0,1.21585490004241,11.7807855825608
all_cohort,91_100,Klebsiella pneumoniae,26,12,46.15,0.0,1.9533379274072484,0.0,1.8498893319450924,14.9631255768925
T2D,21_40,Klebsiella pneumoniae,73,22,30.14,0.0,0.3105080869852301,0.0,0.167874010570289,10.525928644986
